learning_rate,max_iter,train_mse,test_mse,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,train_explained_variance,test_explained_variance,final_cost
0.001,6000,6.637434150795948,8.036786337676837,2.576321825936338,2.8349226334552475,1.8740116180369961,2.103955764358291,0.36941863645508133,0.1758592685448256,0.36949948714345626,0.18282509566783844,3.3187184587227865
0.0005,10000,6.6446358866118915,8.038676825287745,2.577719124848922,2.8352560422804403,1.8752563385015866,2.1007608143956498,0.3687344442977605,0.17566540649885376,0.36933389621962776,0.18563035266992256,3.3223217525674222
0.005,1000,6.644211845844637,8.042142986964267,2.577636872378388,2.8358672371894045,1.8750160611928695,2.101064398623921,0.36877472977542236,0.1753099652939485,0.3693587739323352,0.18517620694553472,3.3221429749966704
0.001,10000,6.635327654565906,8.06339388616236,2.5759129749597336,2.8396115731138933,1.8733571061826115,2.1094220595201625,0.3696187615689226,0.17313076942219918,0.36961878857281616,0.178570789522686,3.3176638519447548
0.01,1000,6.635323026898098,8.063851413234849,2.575912076701784,2.839692133530473,1.8733530714417017,2.1094797617432155,0.3696192012148777,0.17308385182599362,0.36961922583147555,0.1785206130554372,3.317661746503817
0.005,3000,6.63525674648355,8.07317568211268,2.575899211243241,2.8413334338146026,1.8732654212339135,2.110646212797403,0.3696254981050965,0.17212768483954088,0.3696254981062389,0.17750420444920434,3.3176283784318166
0.01,3000,6.635253259720589,8.075772434739942,2.575898534438146,2.8417903572818215,1.8732423411380772,2.1109944822699958,0.36962582936077326,0.17186139810256396,0.3696258293607734,0.1772256096084014,3.3176266298618904
0.005,6000,6.635253259653113,8.075774395544235,2.5758985344250487,2.8417907022763367,1.8732423368646314,2.110994772616897,0.3696258293671838,0.17186119702981972,0.3696258293671837,0.17722539933365378,3.317626629827256
0.005,10000,6.635253259169589,8.0758030889269,2.575898534331193,2.8417957507405243,1.873242255850428,2.1109990120301307,0.3696258294131204,0.17185825463663118,0.3696258294131205,0.17722232930511939,3.3176266295847943
0.01,6000,6.635253259169582,8.075803182929349,2.5758985343311918,2.8417957672797933,1.8732422565542726,2.1109990273031807,0.36962582941312105,0.17185824499705105,0.36962582941312105,0.1772223193514163,3.317626629584791
0.01,10000,6.635253259169582,8.075803187948468,2.5758985343311918,2.8417957681628825,1.8732422566157738,2.1109990281518547,0.36962582941312105,0.1718582444823601,0.36962582941312105,0.17722231882263795,3.317626629584791
0.001,3000,6.998386241773289,8.506087124381345,2.6454463218468995,2.9165196938099602,1.948650171611174,2.158190402260506,0.33512682179721587,0.12773432439719457,0.36771103752464274,0.1957451340387243,3.499547366431893
0.0005,6000,7.001012466764437,8.51361374698509,2.6459426423799206,2.917809751677633,1.9489454102674664,2.1595314749405676,0.33487732048416774,0.12696249894390887,0.36775230936764436,0.19545501688031808,3.50068466271377
0.0005,3000,13.686521177591604,15.827148583196681,3.699529858994465,3.978334900834353,3.1072277687824004,3.238128243511023,-0.30027130820080106,-0.623011644474794,0.3576824565468233,0.2123411794198108,6.846769812070073
0.001,1000,25.709350162682274,28.478366820231937,5.070438853066101,5.336512608458069,4.6285381533422685,4.764594664073717,-1.442485561908569,-1.9203441619251946,0.3447243224927703,0.21709216096556072,12.873730264292115
0.0005,1000,58.39990932816494,63.006305378465456,7.64198333733887,7.937651124763891,7.299735609737599,7.539929909066207,-4.548212399310625,-5.461048038251901,0.30280831208777415,0.20628380352284015,29.225931258287115
